comp_name,sbid,ra,dec,glon,glat,widwnm,sigwidwnm,tdwnm,sigtdwnm,nhicpn_wnm,signhicpn_wnm
J050200-693158,38814,75.501763,-69.532842,280.719437223284,-34.76488495814618,19.08411991775408,4.420304778318469,7961.491418149865,3688.115428938359,1.4720028410472557,0.9953933622544874
J050201-693151,38814,75.506567,-69.531073,280.71680841943817,-34.76375022549421,7.068900803525323,4.98289101616412,1092.3301783419697,1539.9741441075814,2.1240940243312476,1.50713429970568
J050201-693151,38814,75.506567,-69.531073,280.71680841943817,-34.76375022549421,22.792946353713113,4.985173203306315,11356.672300143711,4967.7630571165355,1.9254155559040547,1.2574850625533922
J040040-700026,38814,60.167649,-70.007322,283.9516051160657,-39.40721427099695,9.566353271452009,2.264180807198275,2000.5204120248611,946.9731658002149,2.716409308198752,1.599895111593684
J040040-700026,38814,60.167649,-70.007322,283.9516051160657,-39.40721427099695,20.94634269902834,5.3764638363626815,9591.05909608791,4923.626345989847,2.393517088426819,1.1585585552163735
J042835-674912,38814,67.14892,-67.820124,279.9748442119196,-38.19599616346937,11.978302884423865,6.074083611668973,3136.467116203196,3180.945363110144,1.5820010638398938,1.5069199313254997
J042835-674912,38814,67.14892,-67.820124,279.9748442119196,-38.19599616346937,17.23188472816313,8.829953021219824,6491.061429083579,6652.292350004563,0.9685732123533538,1.658960507142154
J043855-672153,38814,69.732885,-67.364907,278.979423285331,-37.44837101730975,4.594769486795832,0.7248668267727787,461.50627908023023,145.61365614268678,0.5117471272860916,0.10839163347549025
J043855-672153,38814,69.732885,-67.364907,278.979423285331,-37.44837101730975,25.469929811660382,2.4984676396473398,14180.960715994412,2782.156975697805,1.5464448605010475,0.23124094786624824
J044047-695217,38814,70.198589,-69.871589,281.8355774638789,-36.399799175261705,8.942797782769226,5.3875407853756645,1748.2235995313579,2106.4159501803856,1.8487890472088746,0.9043714873703798
J044047-695217,38814,70.198589,-69.871589,281.8355774638789,-36.399799175261705,19.166699675451497,2.9099731031424017,8030.541549174101,2438.46466084033,3.083038619214724,0.8122913634002419
J044903-705216,38814,72.264072,-70.871148,282.6852166247241,-35.39713254629874,14.677351301601192,0.40390814238875816,4709.182657301227,259.18535029850943,5.926202217285497,0.26633297556025554
J044902-705155,38814,72.258713,-70.865478,282.68102497539905,-35.40102454827674,14.330959808977953,0.3719241846922928,4489.528301757395,233.02893533174682,6.079912611875318,0.24842878895327888
J044902-705148,38814,72.258982,-70.863544,282.6787581684569,-35.40160257033081,14.538216906876977,0.38143076801940706,4620.324153174482,242.44153207128542,6.023972797383516,0.2500567978191806
J044902-705208,38814,72.261398,-70.869022,282.68474206836714,-35.39898639686353,14.578784116418372,0.3955502927436163,4646.145086405079,252.11760245316523,5.952995035412827,0.25332900049021023
J045545-694830,38814,73.940559,-69.808445,281.23167363084696,-35.20532442061875,15.292955782182256,0.4701144797201657,5112.496494709388,314.3223146544021,5.335557320205017,0.25255452874428747
J043714-700916,38814,69.309431,-70.1545,282.3033782247996,-36.57571355475361,19.243998584949367,0.6997286972344154,8095.446186410477,588.7150727581727,4.778815585630167,0.2722865532650346
